id,ACTION
1,0.508568
2,0.500200
3,0.500000
4,0.503338
5,0.500001
6,0.500001
7,0.500030
8,0.510628
9,0.504883
10,0.503930
11,0.500001
12,0.504935
13,0.500000
14,0.500001
15,0.500811
16,0.500826
17,0.521146
18,0.501393
19,0.500564
20,0.503273
21,0.501135
22,0.501121
23,0.500006
24,0.503216
25,0.505467
26,0.500188
27,0.504515
28,0.500001
29,0.500856
30,0.500866
31,0.500092
32,0.500001
33,0.500001
34,0.500987
35,0.500002
36,0.504779
37,0.511293
38,0.504505
39,0.501702
40,0.511711
41,0.516646
42,0.500139
43,0.500029
44,0.504105
45,0.506392
46,0.503001
47,0.502513
48,0.500895
49,0.500000
50,0.500001
51,0.500006
52,0.506511
53,0.501108
54,0.511182
55,0.500118
56,0.510613
57,0.500095
58,0.503791
59,0.500531
60,0.500000
61,0.501343
62,0.506300
63,0.500001
64,0.500001
65,0.500000
66,0.503091
67,0.500000
68,0.506798
69,0.507591
70,0.500001
71,0.502778
72,0.505582
73,0.503770
74,0.507056
75,0.507879
76,0.500003
77,0.500486
78,0.502537
79,0.500103
80,0.500001
81,0.500503
82,0.500591
83,0.500000
84,0.506000
85,0.500018
86,0.502590
87,0.500000
88,0.506983
89,0.500504
90,0.500001
91,0.500001
92,0.500555
93,0.500433
94,0.503118
95,0.500003
96,0.506876
97,0.500183
98,0.511568
99,0.500540
100,0.500131
101,0.504826
102,0.502430
103,0.500188
104,0.500425
105,0.507972
106,0.503065
107,0.500059
108,0.500000
109,0.501081
110,0.500000
111,0.500065
112,0.500675
113,0.500311
114,0.500172
115,0.503619
116,0.500375
117,0.500039
118,0.507960
119,0.500001
120,0.500185
121,0.500001
122,0.500001
123,0.500000
124,0.506126
125,0.500136
126,0.501543
127,0.500001
128,0.502899
129,0.500001
130,0.500001
131,0.502236
132,0.500449
133,0.502643
134,0.504732
135,0.507214
136,0.500122
137,0.500001
138,0.500004
139,0.500002
140,0.500495
141,0.500066
142,0.500235
143,0.500192
144,0.500111
145,0.500343
146,0.507635
147,0.506745
148,0.506303
149,0.500001
150,0.500001
151,0.500020
152,0.500362
153,0.501716
154,0.500205
155,0.500000
156,0.500123
157,0.500014
158,0.506377
159,0.500011
160,0.500002
161,0.500607
162,0.500008
163,0.500000
164,0.501653
165,0.500123
166,0.500001
167,0.511871
168,0.500000
169,0.500372
170,0.500113
171,0.500258
172,0.501880
173,0.510833
174,0.500001
175,0.501492
176,0.500471
177,0.500000
178,0.500410
179,0.507187
180,0.500003
181,0.500065
182,0.500002
183,0.500373
184,0.501884
185,0.500075
186,0.500002
187,0.505880
188,0.500717
189,0.500015
190,0.500412
191,0.500001
192,0.500961
193,0.500825
194,0.501754
195,0.500000
196,0.501161
197,0.501166
198,0.500443
199,0.502049
200,0.500009
201,0.504472
202,0.501730
203,0.500003
204,0.507230
205,0.507299
206,0.500001
207,0.501414
208,0.500001
209,0.500193
210,0.500000
211,0.500001
212,0.500260
213,0.500001
214,0.505925
215,0.515490
216,0.500240
217,0.500003
218,0.509835
219,0.501777
220,0.500000
221,0.511689
222,0.501511
223,0.500002
224,0.500914
225,0.510762
226,0.500060
227,0.505584
228,0.500002
229,0.500001
230,0.500001
231,0.500366
232,0.500097
233,0.500060
234,0.501522
235,0.500039
236,0.500000
237,0.500003
238,0.500309
239,0.500001
240,0.500000
241,0.510281
242,0.500000
243,0.501001
244,0.502519
245,0.500119
246,0.500994
247,0.500189
248,0.511563
249,0.500017
250,0.504962
251,0.514282
252,0.500724
253,0.500547
254,0.500473
255,0.503082
256,0.500149
257,0.506559
258,0.506930
259,0.500000
260,0.500067
261,0.500071
262,0.500001
263,0.500002
264,0.515979
265,0.503235
266,0.501155
267,0.500992
268,0.500087
269,0.504413
270,0.500168
271,0.507521
272,0.510223
273,0.500007
274,0.500059
275,0.504918
276,0.500008
277,0.500000
278,0.501656
279,0.501672
280,0.500441
281,0.500007
282,0.500062
283,0.506460
284,0.500603
285,0.500001
286,0.505687
287,0.500858
288,0.501254
289,0.500000
290,0.501094
291,0.504839
292,0.507626
293,0.502351
294,0.500002
295,0.506011
296,0.501345
297,0.500411
298,0.500449
299,0.500001
300,0.504597
301,0.500003
302,0.500001
303,0.500000
304,0.500418
305,0.501740
306,0.500393
307,0.500317
308,0.500000
309,0.500527
310,0.500000
311,0.500913
312,0.503691
313,0.500001
314,0.500144
315,0.502034
316,0.509981
317,0.503056
318,0.501350
319,0.500000
320,0.500121
321,0.523420
322,0.500000
323,0.500183
324,0.500031
325,0.500006
326,0.501102
327,0.506655
328,0.500056
329,0.520499
330,0.500080
331,0.500044
332,0.500198
333,0.500059
334,0.501090
335,0.500167
336,0.500114
337,0.502285
338,0.500005
339,0.505868
340,0.500000
341,0.500002
342,0.500001
343,0.510007
344,0.500001
345,0.500055
346,0.513981
347,0.500297
348,0.501526
349,0.500242
350,0.506436
351,0.510884
352,0.500016
353,0.500002
354,0.501472
355,0.505619
356,0.500063
357,0.500001
358,0.500842
359,0.500158
360,0.500108
361,0.500116
362,0.501649
363,0.501779
364,0.500731
